split_seed,clause_category,model,threshold,missing_precision,missing_recall,missing_f1,missing_auroc,balanced_accuracy,n_test,n_missing_test,n_present_test,val_missing_f1_at_selected_threshold
43,Anti-Assignment,TextPlusLayout,0.8499999999999999,0.9523809523809523,0.4878048780487805,0.6451612903225806,0.9029997196523689,0.7381553125876086,128,41,87,0.6666666666666666
43,Audit Rights,FrequencyPrior,0.05,0.5625,1.0,0.72,0.5,0.5,128,72,56,
43,Audit Rights,TextOnly,0.3,0.6,1.0,0.75,0.7775297619047619,0.5714285714285714,128,72,56,0.8
43,Audit Rights,TextPlusLayout,0.4099999999999999,0.775,0.8611111111111112,0.8157894736842105,0.849702380952381,0.7698412698412699,128,72,56,0.8478260869565217
43,Cap On Liability,FrequencyPrior,0.05,0.4765625,1.0,0.6455026455026455,0.5,0.5,128,61,67,
43,Cap On Liability,TextOnly,0.4599999999999999,0.7272727272727273,0.7868852459016393,0.7559055118110236,0.8541717641301688,0.7591142647418645,128,61,67,0.7341772151898734
43,Cap On Liability,TextPlusLayout,0.37999999999999995,0.6708860759493671,0.8688524590163934,0.7571428571428571,0.8690971372644972,0.7403963787619281,128,61,67,0.8
43,Change Of Control,FrequencyPrior,0.05,0.7578125,1.0,0.8622222222222222,0.5,0.5,128,97,31,
43,Change Of Control,TextOnly,0.37999999999999995,0.7768595041322314,0.9690721649484536,0.8623853211009175,0.7036913867642167,0.5490522115064849,128,97,31,0.9133858267716536
43,Change Of Control,TextPlusLayout,0.31999999999999995,0.7870370370370371,0.8762886597938144,0.8292682926829268,0.7721982041902229,0.5671765879614233,128,97,31,0.9047619047619048
43,Competitive Restriction Exception,FrequencyPrior,0.05,0.828125,1.0,0.905982905982906,0.5,0.5,128,106,22,
43,Competitive Restriction Exception,TextOnly,0.3499999999999999,0.832,0.9811320754716981,0.9004329004329005,0.7761578044596913,0.5132933104631218,128,106,22,0.9361702127659575
43,Competitive Restriction Exception,TextPlusLayout,0.26999999999999996,0.8429752066115702,0.9622641509433962,0.8986784140969163,0.8734991423670669,0.5493138936535162,128,106,22,0.935251798561151
43,Covenant Not To Sue,FrequencyPrior,0.05,0.796875,1.0,0.8869565217391304,0.5,0.5,128,102,26,
43,Covenant Not To Sue,TextOnly,0.41999999999999993,0.8434782608695652,0.9509803921568627,0.8940092165898618,0.8058069381598794,0.6293363499245852,128,102,26,0.9481481481481482
43,Covenant Not To Sue,TextPlusLayout,0.19999999999999996,0.7967479674796748,0.9607843137254902,0.8711111111111111,0.8088235294117648,0.49962292609351433,128,102,26,0.9420289855072463
43,Document Name,FrequencyPrior,0.05,0.1484375,1.0,0.2585034013605442,0.5,0.5,128,19,109,
43,Document Name,TextOnly,0.42999999999999994,0.4,0.631578947368421,0.4897959183673469,0.7624336069531628,0.7332206663447609,128,19,109,0.5384615384615384
